               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.018694,              0.0115,                   0,             0.98732,             0.97806,             0.99323,             0.82574,            0.017095,            0.011656,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.018042,            0.011544,                   0,             0.98735,             0.98433,             0.99363,             0.83366,             0.01737,               0.012,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,             0.01782,            0.011402,                   0,             0.99364,             0.98433,             0.99358,             0.82754,            0.017246,             0.01275,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,              0.0178,            0.011547,                   0,             0.99054,             0.98429,             0.99333,             0.83087,            0.017069,             0.01253,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.017776,            0.011438,                   0,             0.99051,             0.98118,             0.99331,             0.82825,            0.017048,             0.01326,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.018023,            0.011559,                   0,             0.99675,             0.97492,             0.99237,             0.82123,            0.017697,            0.013181,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.018018,            0.011329,                   0,             0.98736,             0.98119,             0.99359,             0.83421,            0.017474,            0.012308,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.017915,            0.011579,                   0,             0.99365,             0.98116,             0.99378,             0.83458,            0.017599,            0.012693,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.018147,            0.011678,                   0,             0.99359,             0.97492,             0.99369,             0.82622,            0.016845,             0.01246,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.017244,            0.010944,                   0,             0.99043,             0.98433,             0.99347,             0.82738,            0.017118,            0.012417,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,            0.017982,            0.011747,                   0,             0.99048,             0.97805,             0.99129,             0.82308,            0.017645,            0.012607,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.016946,            0.010771,                   0,             0.98418,             0.97483,             0.99132,             0.82347,            0.018005,            0.013061,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,            0.017161,            0.011508,                   0,             0.99054,             0.98429,             0.99342,             0.82227,            0.017084,            0.012407,                   0,           0.0067101,           0.0067101,           0.0067101
